item,english,group,measure,max,1641,1644,1645,1648,1656,1657,1659,1662,1663,1664,1665,1668,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
Ochßen,oxen,meat ,Stück (Piece),401,1,1,1,1,,,19,12.5,401,11,26,2,9,1,1,1,1,1,1,1,1,14,,,1,1,1,1,1,2,1
Ochßenrümpffe ,cow trunk?,meat ,Stück (Piece),494,164,125,289,7,,,,10,494,10.25,21.5,0.75,18.25,,0.75,10,,,,,,2.25,,,,,,,,,
Kühe,cow,meat ,Stück (Piece),18,5.25,2,14.5,,,,3,,7,18,0,0,,,,,,,,,,,,,,,,,,,
Kälber,calf/veal,meat,Stück (Piece),1646.5,977.85,523.13,685.85,,,,5,18,1646.5,148.75,,4,20,12.5,15,14.5,,,,,,68.25,,159,,,,,,6,
Kälberrümpffe,calf trunk,meat,Stück (Piece),15,,,,,,,,,,,,,15,4,,,,,,,,,,,,,,,,,
Hammel und Schöpßen,mutton,meat,Stück (Piece),2689.5,737.25,194.12,860.75,,,,3,19.5,2689.5,671.5,32,4,9,5,,,,,,,,283,,314,,,,,,,
Hammel und Schöpßen Rümpffe,mutton trunk,meat,Stück (Piece),6.5,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,
Schaafe,sheep,meat,Stück (Piece),1268.5,1268.5,1164.75,1172.25,,,,1,2,1093.5,190.5,,1,10.25,,,,,,,,,4,,,,,,,,,
Lämm,lamb,meat,Stück (Piece),1506.75,463.5,140,485.75,,,,,1,1506.75,85.25,3.5,4,25,6.5,3,12,,,,,,6,,1,3,,,,,,
Schweine,pig,meat,Stück (Piece),59.75,59.75,26,53,1,,,,2,1.75,,,0.5,1,3,1,1,1,1,1,1,1,4,,26,1,1,1,1,,1,
Mastschweine (1659),fattened pig,meat,*Mixed (Unit,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Bratschwein,roasted pig,meat,Stück (Piece),73,,,,,,,0,,73,23.5,2,0,,,,,,,,,,11,,,,,,,,1,
Spanferkel,suckling pig,meat,Stück (Piece),432,432,227,160,,,,0,2,279,105,,0,4,3,,,,,,,,7,,,,,,,,,
Kalkuhnen,wild turkey (Gallina Meleagris Linn),fowl,Stück (Piece),293,196,133,168,,,,7,3,79,293,7,6,21,5,,,,,,,,77,,136,,,,,,,
Gänße,geese,fowl,Stück (Piece),1730,1165,580,882,,,,0,42,1730,654,83,12,41,6,,7,,,,,,128,,159,,,,,,4,
Cappaunen,capon (castrated rooster),fowl,Stück (Piece),858,842,609,858,,,,53,12,515,250,8,0,20,17,,,,,,,,53,,134,,,,,,,
Hüner,hens,fowl,Stück (Piece),14760,5596,3253,6603,,,,,122,14760,4210,231,62,342,66,,28,,,,,,343,,1326,58,,,,,58,
Eÿer,eggs,eggs,Stück (Piece),130298,104832,74731,117328,2085,,,,2407,130298,30807,,1500,5158,2257,4293,400,,330,,,,1452,,7803,600,,,,,180,
Auern,Aurochs? (supposedly extinct then),meat,Stück (Piece),0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pökel Auer Wildpret,pickled wild cow,meat,Thonne,0.62,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elend und Kälber,Moose & Calves,meat,Stück (Piece),15.75,15.75,,10.75,,,,0,,5,10,,,,,,,,,,,,4.5,,,,,,,,,
Elend und pökel wildpret,Moose and pickeled game (probably also moose),meat,Thonne,28.87,28.87,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,
Hirsch,Deer,meat,Stück (Piece),44,31.5,17.25,37.75,,,,,,44,12,,,,,,,,,,,,4,,,,,,,,,
Hirschkälber,Deer calves,meat,Thonne,1,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,
Hirschen pökel wildpret,Pickled deer,meat,Thonne,17.25,17.25,6.25,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Rehe,roe deer,meat,Stück (Piece),80.75,67,62.75,80.75,,,,0,,51,3,,1,4,,,,,,,,,8,,,1,,,,,,
Haasen,rabits,meat,Stück (Piece),692,87,87,249,,,,,,692,109,,10,19,9,,,,,,,,59,,,,,,,,,
Wildeschweine,wild boar,meat,Stück (Piece),94,41,31.37,30.75,,,,0,,37,3,,94,0,,,,,,,,,1,,1,,,,,,,
Fröschlinge,young boar,meat,Stück (Piece),20.25,13,20.25,18.37,,,,0,,19,4,,,0,,,,,,,,,3,,,,,,,,,
Schwein pökel Wildpret,pickled pork,meat,Thonne,1.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auerhünner,capercaillie,fowl,Stück (Piece),86,22,26,51,,,,0,,86,8,,,0,,,,,,,,,,,,,,,,,,
Birikhüner,black grouse,fowl,Stück (Piece),853,228,74,122,,,,0,,853,69,,,0,2,,,,,,,,43,,,,,,,,,
Haßelhüner [Haaselhüner],hazel grouse,fowl,Stück (Piece),1696,595,177,485,,,,0,,1696,487,4,,9,2,,,,,,,,21,,,,,,,,,
Rephüner [Raphünner],gray partridge,fowl,Stück (Piece),3639,52,58,123,,,,0,,3639,62,,,10,,,,,,,,,132,,,,,,,,,
Schwanen (1659),swans,fowl,Stück (Piece),0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Trappen,bustard,fowl,Stück (Piece),3,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,
Wilde Enten,wild ducks,fowl,Stück (Piece),742,742,304,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zahme Endten,tame ducks,fowl,Stück (Piece),10,,,,,,,,,,,,,,4,,,,,,,,10,,,,,,,,,
Wilde Gänße,wild geese,fowl,Stück (Piece),47,20,12,41,,,,,,47,19,,,,,,,,,,,,,,,,,,,,,
Wilde und Zahme Enten,wild and domestic ducks,fowl,Stück (Piece),4617,,,649,,,,0,,4617,759,,41,78,,,,,,,,,,,56,,,,,,12,
Wilde und Zahme Tauben,wild and domestic doves,fowls,Stück (Piece),263,121,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilde Tauben,wild doves,bird,Stück (Piece),45,,,,,,,,,45,2,,14,,,,,,,,,,,,,,,,,,,
Tauben,doves,bird,Stück (Piece),764,,,,,,,0,,764,241,10,36,80,12,,,,,,,,,,,13,,,,,,
Brachvogel,curlew,bird,Stück (Piece),13,12,,,,,,0,,11,13,,1,,,,,,,,,,,,,,,,,,,
Schneevogel (1659) [aka: Schneeammer (Krünitz)],snow bunting,bird,Stück (Piece),1558,1558,106,850,,,,0,,16,,,0,,,,,,,,,,,,,,,,,,,
Kramßvögel [aka Krammetsvogel/Krambßvogel],fieldfare,bird,Stück (Piece),1423,729,3,197,,,,0,,1423,762,,2,,,,,,,,,,20,,40,,,,,,,
Drußeln [Droßelln],trush,bird,Stück (Piece),2068,1680,116,345,,,,0,,18,2068,,,46,,,,,,,,,,,,,,,,,,
Parießvogel,finch,bird,Stück (Piece),0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Seÿden Schwäntz / Schwantz (1659)/ Seiden Schwäntz,waxwing,bird,Stück (Piece),2076,343,,580,,,,,15,2076,,,,,,,,,,,,,130,,240,,,,,,,
Wachtelln,quail,bird,Stück (Piece),649,3,649,1,,,,0,,26,13,,,,,,,,,,,,,,,,,,,,,
Goldämmer,yellow hammer,bird,Stück (Piece),7109,2092,,2685,,,,0,,7109,2491,,,,,,,,,,,,,,,,,,,,,
Wasserhünner [hüner],coot,bird,Stück (Piece),43,,,,,,,0,,43,8,,,,,,,,,,,,,,,,,,,,,
Spreen u. Lÿrchen,type of sparrow & skylarks,bird,Stück (Piece),280,,,,,,,0,,280,,,,,,,,,,,,,,,,,,,,,,
Spreen,Starling: Platdeutsch word: http://www.welt.de/welt_print/article1243926/Auf-ein-Platt-Wort.html,bird,Stück (Piece),107,107,24,19,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
Lÿrchen,lark,bird,Stück (Piece),3229,2679,1232,3229,,,,,,,,,24,190,,,,,,,,,,,,,,,,,,
Schneppen or Waßerhüner,sandpipers?,bird,Stück (Piece),311,167,125,256,,,,0,,311,,,6,41,,,,,,,,,,,,,,,,,,
Kleine Vogel,small birds,bird,Stück (Piece),649,649,50,296,,,,0,,118,,,0,426,,,,,,,,,135,,,,,,,,,
Schrotfleisch,schredded meat?,meat,Stück (Piece),2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"Pökel Fleisch, Pökelrindfleisch",corned beef,meat,Stof (1/192 of a Fass),576,245,540,120,,,,,,,,576,,,,,,,,,,,,,,,,,,,,
Pökelkühe,corned beef,meat,Stof (1/192 of a Fass),288,,,,,,,0,,288,,,,,,,,,,,,,,,,,,,,,,
Pökel Schaaffe,salted sheep,meat,Stück (Piece),143,11,143,10.25,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Pökel Lämmer,salted lamb,meat,Stück (Piece),55.5,7,55.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Pökel Gänße,salted goose?,fowl,Stück (Piece),288,288,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pökell Schöpsen,picked castrated ram (wether),meat,Stück (Piece),40,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
Treügeflesich [aka Trockenfleisch/jerky],dried meats,meat,Stück (Piece),142,,,,,,,0,,142,,,0,,,,,,,,,,,,,,,,,,,
Treügrindtfleisch,beef jerky,meat,Stück (Piece),611,506,482,611,,,,,,,152,,9,10,64,,68,,,,,,8,,4,,,,,,,
Treüge Schöpsen und Schaaf (1659),dried sheep,meat,Stück (Piece),148.25,8,148.25,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Treüge Hammel,dried mutton,meat,Stück (Piece),0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Treüge Lämmer,dried lamb,meat,Stück (Piece),2,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Treüge Gänße,dried geese,fowl,Seiten (side),297,297,108,128,,,,23,,117,44,,,10,,,,,,,,,,,,,,,,,,
Speck,bacon,meat,Seiten (side),546,275.87,231.87,365.87,1,,,,2.5,546,121.25,,19,7.75,2,13.5,13,,,0.25,,,44,,36,1,0.5,,,,1,
Wilder Speck,boar bacon,meat,Seiten (side),25.12,25.12,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Schincken,ham,meat,Stück (Piece),145,,,,,,,,,145,82,,3,9,,,,,,,,,,,,,,,,,,
Westphalische Schincken,westphalian ham,meat,Stück (Piece),3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmeer ,lard,fat,Stück (Piece),29.5,,9.5,29.5,,,,,,11,11,,,4,,,9,,,,,,2,,1,,,,,,,
Schweinschmalz,lard,fat,Stof,177,,177,88,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Schweinköpffe,pig heads,meat,Stück (Piece),190.5,190.5,142.5,145.5,,,,,,89,2,,,9,,4,,,2,,,,,,7,,,,,,,
Rindtzung,cow tongue,meat ,Stof (1/192 of a Fass),476,60,168,328,,,,120,18,476,275,,46,11,4,,,,,,,,,,,,,,,,,
Hirschzungen,deer tongue,meat,Stück (Piece),41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putter,butter,fat,Stof (1/192 of a Fass),19020,8619.5,4828.5,7978,192,,,48,710,19020,9320,,340.5,365.5,30,504,276,,48,,,,1128,,3720,72,,,,,72,120
Schaafenkombst / Schäfen Kumbst,?,meat (other),Stof (1/192 of a Fass),41555,528,41555,240,72,,,144,192,,,,0,0,,,,,,,,,,,,,,,,,,
Glumse,Quark,Dairy,Stof (1/192 of a Fass),340,340,312,216,168,,,0,,,168,,0,264,,168,,,,,,,,,,,,,,,,
Holländische Kese,Gouda Cheese,Dairy,Stück (Piece),125,13,2,52,,,,0,,125,43,,14,2,,,,,,,,,1,,,,,,,,,
Grose Schaaffkese ,Big sheep cheese,Dairy,Stück (Piece),22,22,4,10,,,,0,,5,,,0,,,,,,,,,,,,,,,,,,,
Kleine Schaaffkese,Small sheep cheese,Dairy,Stück (Piece),1071,1071,204,515,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,
Knapkese / Knabkese,B'burg hard cheese,Dairy,Stück (Piece),21785,17195,5635,21785,,,,0,,15700,2640,,1800,,128,5160,3780,1560,1200,,840,840,,960,,960,120,960,960,960,,1080
Frische Fische: Karpffen,carp,fish,Stück (Piece),12925,10825,1809,3077,,,,64,0,12925,3598,,36,,15,,,,,,,,,,,,,,,,,
Frische Fische: Hecht,pike,fish,Stück (Piece),12547,6322,4035,10578,,,,2.5,59,12547,3221,,285,24,16,,,,,,,,172,,,,,,,,,
Frische Fische: Lächße,salmon,fish,Stück (Piece),308,308,56.5,165.5,,,,,,242,20,,4,1,,,,,,,,,22,,,,,,,,,
Karausen/Caraussen/Carussen,?,fish,Stück (Piece),4560,1267,,1000,,,,0,,4560,360,,,260,,,,,,,,,,,,,,,,,,
Breßem/Greßem,Gudgeon,fish,Stück (Piece),13973,523,1196,694,,,,,,13973,107,,64,,,,,225,,,,,,,,,,,,,,
Neünaugen: Frische Morchnen / Maröhnen,lamprey,fish,Stück (Piece),1220,1220,,420,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Quappen,burpot,fish,Stück (Piece),1798,1798,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
Roßmucken,spiced Gudgeon (see scriviner),fish,Stück (Piece),143,143,,66,,,,,,34,,,0,,,,,,,,,,,,,,,,,,,
LachßfahrenLachßfahren,salmon trout,fish,Stück (Piece),39,39,,,,,,0,,18,,,0,19,,,,,,,,,,,,,,,,,,
Zant,Zander?,fish,Stück (Piece),8,8,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Steinbutter,turbot,fish,Stück (Piece),1,,1,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,
