name,1646,1649,1662,1663
unk,1.0000,0.0000,0.0000,0.0058
bustard,1.0000,0.0000,0.0000,0.0061
cow,1.0000,0.0039,0.0000,0.0090
Big sheep cheese,1.0000,0.0000,0.0000,0.0090
snow bunting,1.0000,0.0000,0.0000,0.0165
wild turkey (Gallina Meleagris Linn),1.0000,0.0021,0.0009,0.0235
cow tongue,1.0000,0.0149,0.0000,0.0589
corned beef,1.0000,0.0000,0.0000,0.0652
Moose & Calves,1.0000,0.0000,0.0000,0.0725
Deer calves,1.0000,0.0000,0.0000,0.0909
capon (castrated rooster),1.0000,0.0094,0.0021,0.0917
trush,1.0000,0.0000,0.0000,0.0968
roe deer,1.0000,0.0000,0.0000,0.1167
turbot,1.0000,0.0000,0.0000,0.1176
hens,1.0000,0.0000,0.0011,0.1278
pig heads,1.0000,0.0000,0.0000,0.1902
young boar,1.0000,0.0000,0.0000,0.2209
dried geese,1.0000,0.0483,0.0000,0.2458
capercaillie,1.0000,0.0000,0.0000,0.3127
roasted pig,1.0000,0.0000,0.0000,0.4294
wild boar,1.0000,0.0000,0.0000,0.5000
fieldfare,1.0000,0.0000,0.0000,0.6160
coot,1.0000,0.0000,0.0000,0.7167
oxen,1.0000,0.0351,0.0221,0.7380
sandpipers?,1.0000,0.0000,0.0000,0.7954
suckling pig,1.0000,0.0000,0.0058,0.8087
black grouse,1.0000,0.0000,0.0000,0.8642
cow trunk?,0.0121,0.0000,0.0202,1.0000
veal,0.5660,0.0030,0.0109,1.0000
mutton,0.5135,0.0011,0.0071,1.0000
sheep,0.3352,0.0009,0.0018,1.0000
lamb,0.0373,0.0000,0.0007,1.0000
fattened pig,0.0000,0.0000,0.0000,1.0000
geese,0.5035,0.0000,0.0243,1.0000
eggs,0.0000,0.0000,0.0185,1.0000
game,0.7714,0.0000,0.0143,1.0000
Moose and pickeled game,0.0000,0.0000,0.0000,1.0000
Deer,0.0000,0.0000,0.0000,1.0000
rabits,0.1214,0.0000,0.0000,1.0000
hazel grouse,0.3042,0.0000,0.0000,1.0000
gray partridge,0.0000,0.0000,0.0000,1.0000
wild geese,0.0000,0.0000,0.0000,1.0000
wild and domestic ducks,0.0782,0.0000,0.0000,1.0000
wild doves,0.0000,0.0000,0.0000,1.0000
doves,0.7173,0.0000,0.0000,1.0000
curlew,0.0000,0.0000,0.0000,1.0000
waxwing,0.0000,0.0000,0.0072,1.0000
yellow hammer,0.0000,0.0000,0.0000,1.0000
type of sparrow & skylarks,0.0893,0.0000,0.0000,1.0000
small birds,0.0169,0.0000,0.0000,1.0000
dried meats,0.0000,0.0000,0.0000,1.0000
butter,0.0126,0.0025,0.0373,1.0000
Gouda Cheese,0.0640,0.0000,0.0000,1.0000
B'burg hard cheese,0.0000,0.0000,0.0000,1.0000
carp,0.5930,0.0050,0.0000,1.0000
pike,0.0075,0.0002,0.0047,1.0000
salmon,0.0000,0.0000,0.0000,1.0000
unk,0.4553,0.0000,0.0000,1.0000
Gudgeon,0.0451,0.0000,0.0000,1.0000
unk,0.0000,0.0000,0.0000,1.0000
salmon trout,1.0000,0.0000,0.0000,1.0000